Time of A;Time minus avg Time of A;Time of B;Time minus avg Time of B;Avg time of A & B;Payment A;Payment B;Fact.A Time of A;Fact.A Time minus avg Time of A;Fact.A Time of B;Fact.A Time minus avg Time of B;Fact.A Avg time of A & B;Fact.A Payment A;Fact.A Payment B;Fact.B Time of A;Fact.B Time minus avg Time of A;Fact.B Time of B;Fact.B Time minus avg Time of B;Fact.B Avg time of A & B;Fact.B Payment A;Fact.B Payment B
3703.0;972.0;6668.0;-429.0;271.5;-700.5;700.5;3703000.0;3700269.0;6668.0;-429.0;1849920.0;-1850349.0;1850349.0;3703.0;972.0;6668000.0;6660903.0;3330937.5;3329965.5;-3329965.5
1296.0;-1435.0;8035.0;938.0;-248.5;1186.5;-1186.5;1296000.0;1293269.0;8035.0;938.0;647103.5;-646165.5;646165.5;1296.0;-1435.0;8035000.0;8027903.0;4013234.0;4014669.0;-4014669.0
1629.0;-1102.0;7484.0;387.0;-357.5;744.5;-744.5;1629000.0;1626269.0;7484.0;387.0;813328.0;-812941.0;812941.0;1629.0;-1102.0;7484000.0;7476903.0;3737900.5;3739002.5;-3739002.5
3558.0;827.0;6688.0;-409.0;209.0;-618.0;618.0;3558000.0;3555269.0;6688.0;-409.0;1777430.0;-1777839.0;1777839.0;3558.0;827.0;6688000.0;6680903.0;3340865.0;3340038.0;-3340038.0
5885.0;3154.0;6450.0;-647.0;1253.5;-1900.5;1900.5;5885000.0;5882269.0;6450.0;-647.0;2940811.0;-2941458.0;2941458.0;5885.0;3154.0;6450000.0;6442903.0;3223028.5;3219874.5;-3219874.5
1480.0;-1251.0;7665.0;568.0;-341.5;909.5;-909.5;1480000.0;1477269.0;7665.0;568.0;738918.5;-738350.5;738350.5;1480.0;-1251.0;7665000.0;7657903.0;3828326.0;3829577.0;-3829577.0
2972.0;241.0;6815.0;-282.0;-20.5;-261.5;261.5;2972000.0;2969269.0;6815.0;-282.0;1484493.5;-1484775.5;1484775.5;2972.0;241.0;6815000.0;6807903.0;3404072.0;3403831.0;-3403831.0
4798.0;2067.0;6525.0;-572.0;747.5;-1319.5;1319.5;4798000.0;4795269.0;6525.0;-572.0;2397348.5;-2397920.5;2397920.5;4798.0;2067.0;6525000.0;6517903.0;3259985.0;3257918.0;-3257918.0
3712.0;981.0;6662.0;-435.0;273.0;-708.0;708.0;3712000.0;3709269.0;6662.0;-435.0;1854417.0;-1854852.0;1854852.0;3712.0;981.0;6662000.0;6654903.0;3327942.0;3326961.0;-3326961.0
3979.0;1248.0;6632.0;-465.0;391.5;-856.5;856.5;3979000.0;3976269.0;6632.0;-465.0;1987902.0;-1988367.0;1988367.0;3979.0;1248.0;6632000.0;6624903.0;3313075.5;3311827.5;-3311827.5
2511.0;-220.0;6938.0;-159.0;-189.5;30.5;-30.5;2511000.0;2508269.0;6938.0;-159.0;1254055.0;-1254214.0;1254214.0;2511.0;-220.0;6938000.0;6930903.0;3465341.5;3465561.5;-3465561.5
2267.0;-464.0;7034.0;-63.0;-263.5;200.5;-200.5;2267000.0;2264269.0;7034.0;-63.0;1132103.0;-1132166.0;1132166.0;2267.0;-464.0;7034000.0;7026903.0;3513219.5;3513683.5;-3513683.5
1667.0;-1064.0;7438.0;341.0;-361.5;702.5;-702.5;1667000.0;1664269.0;7438.0;341.0;832305.0;-831964.0;831964.0;1667.0;-1064.0;7438000.0;7430903.0;3714919.5;3715983.5;-3715983.5
2053.0;-678.0;7161.0;64.0;-307.0;371.0;-371.0;2053000.0;2050269.0;7161.0;64.0;1025166.5;-1025102.5;1025102.5;2053.0;-678.0;7161000.0;7153903.0;3576612.5;3577290.5;-3577290.5
